CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
2,2,3,2,0,3,6,2,0,0,0,4,8,7,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,1
0,1,5,0,0,4,1,0,0,0,0,10,1,2,0,0,1,4,1,1,0,0,2,0,2,0,1,0,0,0,1,6,0,0,0,0,1
3,2,14,1,0,13,7,2,0,0,0,16,14,1,0,0,0,10,3,6,0,0,0,0,4,0,3,0,0,0,6,13,0,0,0,2,1
0,1,6,1,0,2,3,0,0,0,0,6,5,1,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0,0,0,1
1,2,12,0,0,4,4,0,0,0,0,11,5,3,0,0,0,8,0,7,0,0,1,0,3,0,3,1,0,0,3,8,0,0,0,0,1
1,3,25,0,0,21,11,1,1,0,1,23,5,4,0,0,1,15,0,11,0,0,0,0,2,0,5,0,1,0,5,15,1,0,0,2,1
1,1,8,0,0,9,5,0,0,0,0,10,5,6,0,0,0,9,1,0,0,0,0,0,0,0,0,2,2,0,1,10,0,0,0,0,1
1,4,6,0,0,4,5,0,0,0,1,9,7,10,0,0,0,4,3,2,0,0,0,0,1,0,1,2,1,1,1,8,0,0,0,0,1
0,2,4,1,0,6,5,0,0,0,0,6,4,5,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1
1,3,12,0,0,9,1,0,0,0,0,14,8,1,0,0,0,5,2,0,1,0,0,0,1,0,2,0,1,0,5,5,0,0,0,0,1
0,1,10,1,0,4,2,0,0,0,1,8,5,9,0,0,0,3,0,3,0,0,0,0,1,0,1,8,0,0,0,1,0,0,0,0,1
0,4,11,1,0,9,6,0,0,0,0,10,12,3,0,0,0,4,1,4,0,0,0,0,3,0,3,0,0,1,7,7,0,0,0,0,1
0,1,19,0,0,10,3,0,0,0,0,20,6,0,0,0,0,10,0,9,0,0,0,0,2,0,3,0,0,0,2,15,0,0,0,0,1
1,0,11,1,0,6,6,1,2,0,1,7,12,4,0,0,1,6,0,4,1,0,0,0,1,0,2,0,0,1,9,3,0,0,0,0,1
1,0,9,0,0,4,2,0,0,0,0,10,2,1,0,0,1,7,0,2,0,0,0,0,2,0,2,0,0,0,2,9,0,0,0,0,1
0,1,15,2,0,10,5,1,0,0,0,12,5,4,0,0,0,5,1,2,1,0,0,0,0,0,1,0,0,1,3,7,0,0,0,0,1
