tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,class
3,14,14,14,32,7,25,13,18,32,6,2,14,4,31,7,7,13,20,6,12,2,32,3,14,14,14,4,31,12,13,1,7,1
3,12,32,6,3,12,12,6,14,14,12,32,23,6,3,12,18,32,2,13,7,3,12,17,12,32,23,18,31,25,27,18,3,1
4,32,3,7,12,6,14,18,32,3,12,18,32,20,3,7,12,18,32,20,3,12,18,32,6,3,7,12,13,31,7,36,18,1
31,3,12,3,12,32,3,7,6,2,13,18,32,6,6,3,12,3,12,32,20,27,18,20,32,19,12,6,2,12,25,3,1,1
36,13,31,6,18,18,32,13,1,32,19,12,13,31,6,12,13,31,19,12,6,12,13,20,31,8,25,13,6,20,3,12,32,1
3,12,32,6,14,13,31,7,12,3,12,13,25,18,18,32,18,4,31,2,13,6,18,18,31,3,7,7,13,3,12,32,3,1
3,12,32,6,3,14,14,3,12,32,20,18,32,20,7,3,12,32,18,23,1,18,32,20,20,3,7,12,32,20,2,13,20,1
3,12,32,18,27,25,3,12,18,32,7,6,3,12,28,18,13,12,3,12,6,3,14,3,2,13,31,13,18,31,25,27,6,1
36,18,31,3,12,18,31,6,3,12,33,32,3,7,12,6,2,7,12,3,7,12,32,20,7,13,3,12,6,14,32,20,6,1
3,12,6,18,32,3,12,25,3,12,6,3,12,13,3,7,12,6,14,32,6,18,32,20,7,36,18,31,20,3,7,12,6,1
3,12,18,32,6,18,20,31,3,7,12,3,6,14,17,13,31,20,27,3,7,2,6,18,32,6,6,18,18,32,20,3,12,1
18,32,20,27,6,18,32,3,12,1,3,12,3,12,6,14,32,3,12,18,20,32,20,7,6,3,12,18,32,6,18,11,20,1
29,7,13,6,14,14,3,12,32,3,7,12,6,14,14,18,32,6,3,12,18,32,6,13,18,32,3,12,18,32,7,13,3,1
12,6,32,6,6,3,12,18,32,29,1,13,31,18,3,12,32,2,13,7,18,32,7,19,12,32,14,14,18,28,6,3,12,1
14,14,28,2,13,20,19,7,32,3,7,14,12,19,12,32,14,3,12,32,6,14,14,14,32,6,14,11,27,3,12,18,28,1
29,13,6,19,13,3,12,32,7,13,18,32,30,13,13,1,2,13,18,32,7,7,18,32,12,6,3,2,2,12,12,25,14,1
7,13,3,6,3,12,31,6,13,18,32,20,6,2,12,13,31,7,14,14,14,32,6,19,12,18,32,6,4,32,7,12,18,1
3,12,32,6,14,13,6,3,12,27,19,12,6,3,12,18,31,2,13,6,12,18,31,13,1,3,2,12,3,13,31,3,13,1
6,3,12,3,12,13,12,6,3,12,3,12,32,19,13,25,27,7,2,12,32,6,3,32,29,18,32,18,12,21,3,13,31,1
3,12,32,6,14,14,14,14,4,28,3,12,20,18,28,3,14,14,14,14,14,6,13,28,6,3,12,3,13,28,25,27,13,1
