Doc_ID,TAGS,CLASS
1,"DT,NNP,NNP,NNP,VBZ,JJ,TO,PRP,VBZ,IN,CD,EX,VBP,JJ,JJ,NNS,IN,CD,VBZ,DT,NNP,NNP,EX,VBP,NN,NNS,CC,JJ,NN,VBZ,DT,JJ,NNS,NNS,VBP,IN,NNS,VBP,JJR,CC,JJR,JJ",1
2,"DT,NN,VBZ,IN,DT,NN,NN,IN,DT,NN,VBZ,RP,IN,DT,PRP,VBZ,CD,NNS,DT,NN,VBZ,PRP,VBP,TO,VB,DT,NN,VBZ,PRP$,TO,PRP,VBZ,IN",1
3,"EX,VBZ,DT,JJ,NN,IN,PRP,VBZ,DT,PRP,VBZ,RB,DT,JJ,PRP,VBZ,RB,DT,PRP,VBZ,IN,DT,JJ,NNS,VBP,JJ,WRB,PRP,VBP,DT,DT,NN,VBZ,DT,JJ,IN,CD,PRP,VBZ,IN,IN,DT,NN,DT,NN,VBZ,RB,PRP,RB,VBZ,PRP$,NN,IN,CD,NN,TO,CC,WRB,NNS,VBP,IN,PRP,VBZ,NNS,CC,VBZ,PRP$,NNS,VBP,IN,NNS,VBP,PRP$,NN,IN,NNS,RB,VBP,JJR,TO,NNS,IN,DT,NN,VBZ,TO,VB,NNS,IN,DT,NNS,IN,DT,JJ,PRP,VBZ,TO,VB,NNS,IN,NNS,CC,JJ,NNS",1
4,"DT,NN,VBZ,IN,NNS,VBP,JJ,DT,NN,NNS,TO,PRP,VBZ,EX,VBP,CD,NNS,IN,PRP,VBP,DT,JJ,JJ,DT,NN,VBZ,DT,NNS,TO,VB,DT,NN",1
5,"DT,NN,VBZ,IN,DT,NNP,DT,NN,VBZ,PRP,VBZ,RB,DT,NN,VBZ,PRP,CC,PRP,VBZ,RB,DT,NN,NN,VBZ,RB,CD,NNS,DT,NN,VBZ,PRP,VB,TO,DT,PRP,VBZ,JJ,IN,DT,NN,VBD,NNS,NN,DT,NN,IN,DT,DT,CD,NNS,VBP,PRP,VBP,TO,VB,IN,PRP,VBP,TO,VB,DT,NN,JJ",1
6,"WRB,PRP,VBP,DT,PRP,VBP,IN,DT,NN,IN,VBZ,DT,JJ,IN,CD,JJ,DT,JJ,NN,VBZ,RB,JJ,DT,NN,IN,NNP,VBZ,RB,IN,DT,NN,IN,PRP,VBZ,DT,NN,TO,DT,NN,IN,DT,NN,DT,JJ,NN,IN,NNP,VBZ,IN,PRP,VBZ,RB,JJ,WRB,PRP,VBP,RB,DT,JJ,NN,IN,DT,PRP,VBZ,IN,PRP,RB,VBP,DT,JJ,DT,IN,NNS,VBP,RB,VB,DT,CD,IN,PRP,VBZ,IN,IN,PRP,PRP,VBZ,RB,DT,PRP,VBZ,RB,VB,IN,PRP,VBZ,DT,NN,CC,DT,DT,NN,IN,NNP,VBZ,DT,PRP,RB,VBZ,RB,JJ,IN,DT,PRP,VBZ,IN,PRP,MD,RB,VB,NNS,VB,DT,DT,NN,VBZ,TO,VB,DT,JJ,VBG,NNS,IN,DT,NN,IN,CD,NN,IN",1
7,"VBG,JJ,NNS,IN,NNP,DT,NN,VBZ,DT,JJ,NN,IN,NNP,PRP,VBZ,IN,DT,PRP,VBZ,IN,PRP,VBZ,DT,PRP,VBZ,JJ,DT,NN,IN,VBZ,IN,IN,DT,PRP,VBZ,CC,NNS,VBP,DT,NN,VBZ,CD,NNS,PRP,VBZ,PRP$,NN,VBZ,NNP,PRP,VBD,IN,DT,PRP,VBD,NN",1
8,"NNP,NNP,VBD,CD,NNS,PRP$,JJ,VBZ,DT,JJ,NNP,PRP$,NN,VBZ,DT,NN,VBZ,IN,NNP,VBZ,IN,NNP,MD,VB,DT,PRP,VBD,VBG,NNS,IN,PRP$,DT,NN,VBZ,JJ,PRP,VBZ,CC,CD,PRP,VBZ,CD,JJ,PRP,VBZ,NN,IN,DT,CD,CD,NN,NN,TO,NNP,RB,VBP,DT",1
9,"JJ,NNS,DT,IN,DT,NN,VBP,IN,PRP,VBZ,RB,IN,CD,NNS,VBP,NNP,NNP,NNP,VBZ,IN,PRP$,PRP,VBZ,IN,EX,VBZ,JJ,PRP,VBZ,DT,JJ,NN,IN,NNP,DT,NN,VBZ,CD,NNS,VBP",1
10,"DT,NN,VBZ,IN,NNS,IN,DT,NN,VB,PRP$,NN,IN,DT,PRP,VBP,CD,NNS,IN,PRP,VBP,NNS,CC,DT,CD,DT,NNS,VBP,DT,NNS,IN,DT,DT,NN,NNS,NN,IN,DT,DT,NN,VBZ,PRP$,NNS,TO,VB,CD,NN,VBZ,IN,DT,VBZ,PRP,VBZ,PRP,NN,DT,NNS,VBP,IN,PRP,VBP,IN",1
